cod_uf,uf,uf_nome,regiao,temp_media_anual,radiacao_media,amplitude_media,cop_medio_anual,aptidao_solar,temp_minima_inverno,temp_minima_absoluta,cop_inverno,consumo_comercial_mwh,consumo_industrial_mwh,consumo_residencial_mwh,n_domicilios,populacao,media_moradores,pct_casa,pct_apartamento,pct_rede_geral,rendimento_medio_pc,trend_aquecedor_solar,trend_aquecimento_de_piscina,trend_aquecimento_solar,trend_bomba_de_calor,trend_chuveiro_eletrico,consumo_resid_por_domicilio,oportunidade_conversao
11,RO,Rondônia,Norte,26.117909886676216,4.531985325423729,9.613307544067796,3.584079661016949,2.2659966101694917,20.012165200000002,7.4,3.5698933333333334,61731.09506666667,42987.04256666666,140612.29121666666,555099.0,1572676.0,2.83,0.9057429395477203,0.06885258305275276,0.46151947670595694,1750,18.0,3.0,12.0,4.0,63.0,0.25331029459009413,45.9
12,AC,Acre,Norte,25.537073673170845,4.370752986666667,9.788026678333333,3.5513566666666665,2.1853800000000003,19.441837466666666,10.0,3.509266666666667,22751.18243333333,4119.543983333333,51963.83158333333,261001.0,824448.0,3.16,0.914820249730844,0.06054382933398723,0.5256071815816797,1277,8.0,0.0,10.0,5.0,77.0,0.19909437735232177,34.1
13,AM,Amazonas,Norte,27.13400059798118,4.060654398333333,7.9168246149999995,3.6412600000000004,2.0303283333333333,23.343054066666664,11.3,3.65034,132805.1593,173432.92523333334,207804.91666666666,1079880.0,3929369.0,3.64,0.8533290736007705,0.1076925213912657,0.6607678630958995,1268,7.0,0.0,11.0,5.0,77.0,0.1924333413589164,19.0
14,RR,Roraima,Norte,28.231886702499096,5.097994709302326,8.306759886046512,3.704911627906977,2.549,24.165354583333336,21.1,3.673666666666667,23464.504299999997,2427.883983333333,57696.937366666665,177418.0,622859.0,3.51,0.8278246852066871,0.08882413283883259,0.8131813006572051,1630,6.0,0.0,17.0,8.0,69.0,0.32520340307447193,50.0
15,PA,Pará,Norte,26.874217231335976,4.666500285,8.924371981666667,3.6264966666666667,2.333255,22.1014192,13.8,3.6341733333333335,192568.09128333334,1159450.5542833332,421105.03424999997,2444319.0,8088090.0,3.31,0.8955688680569107,0.05172238157130882,0.48903109618670887,1364,7.0,1.0,14.0,5.0,73.0,0.17227908233336156,18.1
16,AP,Amapá,Norte,26.989980141861533,4.507939491636363,7.569419981481481,3.633512727272727,2.2539672727272726,23.914962133333333,20.2,3.6454266666666664,24609.89356666667,5963.6116999999995,58787.1703,201021.0,729353.0,3.63,0.8624173593803632,0.09033882032225489,0.4338253217325553,1482,10.0,0.0,12.0,0.0,78.0,0.2924429303406112,42.5
17,TO,Tocantins,Norte,26.70844089761774,4.99237134,11.523491193333333,3.6173100000000002,2.4961816666666667,18.4766844,10.2,3.5974999999999997,40316.59655,38455.78676666667,110629.0037,513796.0,1506137.0,2.93,0.9402369812143341,0.03232800566761906,0.8174314319301824,1795,13.0,4.0,14.0,3.0,66.0,0.21531698125326004,41.5
21,MA,Maranhão,Nordeste,27.405608096219286,4.890841205,9.425953506666668,3.6568833333333335,2.4454183333333335,21.8177316,12.7,3.6479666666666666,106443.20911666667,418222.3470666667,381912.1136666667,2091583.0,6760732.0,3.23,0.9356363099145479,0.041196548260336786,0.6615118788018453,1103,9.0,1.0,13.0,5.0,72.0,0.1825947684919349,21.7
22,PI,Piauí,Nordeste,27.935930412083245,5.278349791666667,11.207317658333332,3.6877966666666664,2.6391750000000003,20.9350226,10.8,3.68072,75782.14871666668,19109.216983333336,189102.17798333333,1071549.0,3263283.0,3.05,0.9463402980171696,0.04589057523267718,0.7707039062142749,1427,8.0,1.0,12.0,4.0,75.0,0.17647553026817564,23.2
23,CE,Ceará,Nordeste,27.680274494564898,4.558906083333333,9.426920161666667,3.673045,2.2794533333333336,22.357709333333332,14.4,3.6444400000000003,200357.48246666667,234813.18365,456577.2378666667,3020374.0,8771496.0,2.9,0.8669148257798538,0.10282666980976528,0.7920926348856135,1247,8.0,1.0,9.0,3.0,79.0,0.1511657953176218,11.9
24,RN,Rio Grande do Norte,Nordeste,28.582283159273537,5.176339813333333,9.274729671666668,3.725105,2.5881666666666665,22.116279066666667,15.6,3.6665533333333333,90547.77731666667,108002.02458333333,201108.70771666666,1141873.0,3291201.0,2.88,0.8693760164221415,0.09273535673406762,0.8493702889901066,1542,8.0,1.0,10.0,4.0,77.0,0.1761217821217129,19.1
25,PB,Paraíba,Nordeste,26.05692445796328,5.403427186666667,9.17889435,3.580566666666667,2.701716666666667,20.4142636,13.4,3.50054,85866.94243333333,111253.40269999999,218185.3434,1372108.0,3959587.0,2.89,0.8505977663565841,0.1305217956603999,0.7448874286863716,1409,6.0,1.0,8.0,3.0,82.0,0.15901470102936505,20.6
26,PE,Pernambuco,Nordeste,25.586048013474294,5.229136988333334,9.513783611666668,3.5551616666666663,2.614565,19.308042466666667,12.5,3.4212466666666668,248831.14575,322589.7543166667,473713.3541166667,3184223.0,9018330.0,2.83,0.869892906369937,0.11360385249399932,0.7129949755403437,1448,7.0,1.0,6.0,3.0,83.0,0.1487689003303684,21.7
27,AL,Alagoas,Nordeste,26.12982410619643,5.083401356666667,8.525180923333332,3.5852983333333333,2.5416966666666667,20.92902773333333,16.3,3.4632,76982.46966666666,124747.85071666668,156641.31615,1041552.0,3117345.0,2.99,0.8741589474169317,0.07963980674992703,0.6813601241224634,1303,8.0,1.0,7.0,4.0,80.0,0.15039221867943223,16.6
28,SE,Sergipe,Nordeste,25.560051542914778,5.528881293333333,7.865293563333334,3.553141666666667,2.7644433333333334,20.590331133333333,14.0,3.44652,54279.81023333334,97464.37301666666,122743.06866666667,782919.0,2201997.0,2.81,0.8594413981522993,0.10798051905752702,0.8539912813458352,1480,7.0,1.0,8.0,2.0,82.0,0.15677620375373016,19.4
29,BA,Bahia,Nordeste,25.142256663186135,5.079500313333333,10.012533533333334,3.529835,2.539746666666667,18.18947926666667,7.3,3.4219,328543.22473333334,803891.9862833334,655624.1903833334,5088635.0,14103181.0,2.77,0.8833754042095768,0.09414292830985127,0.8312459038622342,1340,11.0,1.0,10.0,4.0,74.0,0.1288408758701171,20.5
31,MG,Minas Gerais,Sudeste,22.376699366966218,5.118923541666667,11.378297875,3.3808066666666665,2.5594633333333334,13.349228,-5.0,3.2406,707275.0799666666,2846396.4093,1178267.2453833334,7533434.0,20436535.0,2.71,0.8431964758701012,0.14356520545610407,0.8789297151869917,2001,54.0,3.0,14.0,3.0,26.0,0.15640506645220936,44.1
32,ES,Espírito Santo,Sudeste,23.330787279416814,4.657976766666667,9.181643993333333,3.43175,2.3289866666666668,16.348150933333333,5.1,3.2982533333333333,170796.01485,370859.52855,267454.91025,1428739.0,3808060.0,2.67,0.8011064302157357,0.1904364618030305,0.8430756072312717,2071,22.0,2.0,12.0,5.0,59.0,0.18719647902801004,41.7
33,RJ,Rio de Janeiro,Sudeste,22.249088738856404,4.548268951666667,9.057020113333333,3.3746,2.27413,14.877080833333334,-9.9,3.222653333333333,804517.2835833334,701710.6929333333,1084647.0611833332,6152051.0,15991284.0,2.6,0.7129768592620574,0.22318573106757406,0.8471665790807,2399,12.0,2.0,9.0,5.0,72.0,0.17630657827500668,44.0
35,SP,São Paulo,Sudeste,22.17150721582191,4.644105496666667,11.148781658333332,3.370775,2.322058333333333,13.020581133333334,-4.3,3.2045533333333336,2549288.9671,4307856.46715,3767470.1422833335,16224248.0,44117616.0,2.72,0.7727984680707544,0.19966558696587972,0.9574149137759729,2719,34.0,5.0,16.0,7.0,38.0,0.23221231223063982,64.6
41,PR,Paraná,Sul,20.47666536674621,4.550036019999999,10.330010866666667,3.2834716666666663,2.2750150000000002,11.820276366666667,-7.9,3.10174,581643.28145,1218846.64815,775953.7613333333,4209432.0,11390719.0,2.71,0.8438209715705112,0.13228530595101667,0.8883067834330143,2391,29.0,7.0,17.0,7.0,40.0,0.18433692748411978,56.5
42,SC,Santa Catarina,Sul,18.169394143535616,4.262836914999999,8.685375148333332,3.1679983333333337,2.131416666666667,10.20086254,-8.6,2.972866666666667,450927.1697,994659.0501,627312.6909666666,2806100.0,7573632.0,2.7,0.7718363565090339,0.2178607319767649,0.8435700794697266,2535,20.0,7.0,24.0,8.0,41.0,0.22355322011570028,72.0
43,RS,Rio Grande do Sul,Sul,18.589845997321518,4.540068173333333,9.714027034999999,3.19122,2.2700316666666667,9.594478653333333,-9.2,2.95198,438860.1445666666,855421.8661333334,866808.0786,4256082.0,10816723.0,2.54,0.7966921220032884,0.1880031916678297,0.8663893223861758,2589,19.0,11.0,23.0,8.0,39.0,0.20366338773548065,69.1
50,MS,Mato Grosso do Sul,Centro-Oeste,24.503627865056348,4.893274971666667,11.630384350000002,3.496466666666667,2.446635,14.833286600000001,-3.2,3.3250666666666664,98263.66425,140286.97175,198044.31016666666,979669.0,2737054.0,2.79,0.9078770482683437,0.05544729903671546,0.8719638980104505,2160,36.0,5.0,14.0,6.0,39.0,0.20215430943172302,50.7
51,MT,Mato Grosso,Centro-Oeste,25.687321193753473,4.7688211266666665,11.014292995,3.5601333333333334,2.3844149999999997,17.4931723,2.7,3.4991399999999997,151382.60760000002,211005.76978333332,309949.33143333334,1278142.0,3635989.0,2.84,0.9004437691586694,0.06349607477103483,0.8074141996742146,2246,24.0,5.0,13.0,6.0,52.0,0.2424999189709229,51.8
52,GO,Goiás,Centro-Oeste,24.30559507794887,5.146655736666667,11.473841856666667,3.4840383333333333,2.573323333333333,15.654470166666666,0.2,3.3985933333333334,231072.80695,514204.96821666666,551462.03465,2572930.0,7022513.0,2.73,0.8634020358113124,0.10602348295523004,0.8454392463067398,2127,28.0,10.0,19.0,6.0,37.0,0.2143323116641339,51.0
53,DF,Distrito Federal,Centro-Oeste,21.927732569299287,5.362800368333334,11.134571275,3.3563683333333336,2.6813966666666667,13.8781221,4.9,3.2729066666666666,168872.43546666668,50441.35423333334,210565.16278333336,988191.0,2792811.0,2.83,0.612220714416545,0.34229212773643963,0.9336788131039445,3531,23.0,11.0,26.0,5.0,35.0,0.21308144152631764,56.8
