periodo,termo,frequencia
2010–2015,aquecedor solar,0
2010–2015,coletor solar,4
2010–2015,bomba de calor,0
2010–2015,reservatório térmico,3
2010–2015,chuveiro elétrico,1
2010–2015,aquecedor a gás,0
2010–2015,eficiência energética,289
2010–2015,energia solar,3
2016–2020,aquecedor solar,0
2016–2020,coletor solar,4
2016–2020,bomba de calor,0
2016–2020,reservatório térmico,3
2016–2020,chuveiro elétrico,0
2016–2020,aquecedor a gás,0
2016–2020,eficiência energética,81
2016–2020,energia solar,7
2021–2024,aquecedor solar,0
2021–2024,coletor solar,2
2021–2024,bomba de calor,0
2021–2024,reservatório térmico,1
2021–2024,chuveiro elétrico,0
2021–2024,aquecedor a gás,0
2021–2024,eficiência energética,92
2021–2024,energia solar,11
